timestamp,x,y
13766833703327,-0.33401,-0.697582
13767133831387,-0.167884,-0.410265
13767433983002,0.148561,0.451298
13767734147271,0.775701,0.0830917
13768034337168,1.04808,-0.389752
13768334558255,-0.470869,-0.205123
13768634717433,-0.463499,0.930435
13768934855072,-0.54671,-0.090884
13769235020402,0.326974,-0.0728341
13769535205480,0.591552,-0.522427
13769835397271,0.550593,-0.212279
13770135599613,-0.000673083,0.0255385
13770435832120,0.800298,1.02921
13770736027517,1.06411,0.648496
13771036165276,-0.174806,-0.00877796
13771336347089,0.67426,1.24928
13771636573414,1.09363,0.449065
